,video_id,width,height,duration
421,K5g53JVxwJQ,1920,1080,372.495
422,YNVx0Mqu3dg,732,480,372.495
423,J8zTos0Ugio,480,360,372.518
424,Lt2pVRNlBzM,1280,720,372.588
425,XfV7PDt4QvA,1280,720,372.588
426,PVuer7AJGsE,854,480,372.774
427,gSFvXz4y63w,1280,720,372.936
428,YQ9FV56InSg,1280,720,373.192
429,5EnJTlbQM0A,1920,1080,373.401
430,6SPUTWIV9rQ,640,480,373.447
431,8E03rz4FuJw,1280,720,373.447
432,POFk2b32y9w,440,330,373.473
433,hzvkvnQ26h8,1920,1080,373.563
434,CWZ5aXOm8mI,1280,720,373.772
435,7W2f-KaJIIE,540,360,373.795
436,A9_hvR_c3MU,1280,720,373.795
437,K3lA-CPerm0,1280,720,373.888
438,OlZ3PTTTe_U,1280,720,374.028
439,eILPnhM1t2g,1920,1080,374.074
440,kK1Q194sGN0,1920,1080,374.213
441,kAdcsiBb7GA,640,480,374.237
442,NpylbHAMnSU,654,480,374.260
443,Z3lKh5_oRJU,1920,1080,374.260
444,xnCeK-nRPNQ,480,360,374.306
445,pG4TRHXSc1s,1920,1080,374.445
446,Exl1fiwQVLU,854,480,374.538
447,wjlUhLiq4Y0,640,360,374.794
448,GkXAHWEr5PE,640,360,374.863
449,OWXC7hL2Mbo,1280,720,374.933
450,ouw-qGwPJ-M,1280,720,375.003
451,o8ZMngt6Dkk,1280,720,375.072
452,qRtsVuFbaUo,640,360,375.211
453,Px4BusLm5aI,854,480,375.235
454,KSR8UPoMOl8,1280,720,375.258
455,L4UvuvEA-xk,640,360,375.328
456,zkpqew0oZBo,640,480,375.398
457,hLkvWqftjcc,1920,1080,375.490
458,l8xcJ8CMZXw,294,240,375.490
459,UQTEIUKyIg8,320,240,375.490
460,rZlHXZSjCMU,316,240,375.537
461,Jmjott-4eeU,654,480,375.560
462,0z2cklXrv1Q,1920,1080,375.800
463,SBSKR_ImHYw,1280,720,375.815
464,-t1abtKyJCU,640,480,375.934
465,u4kZ8p0myD4,1920,1080,376.001
466,PseSNDFe3NM,1920,1080,376.187
467,KSpjrTEcSJw,854,480,376.233
468,VOBg9UkHCC8,640,318,376.326
469,5x1_zu1cUdw,1280,720,376.442
470,KqQEbpg9CCw,320,240,376.489
471,QIPrllsNrBY,1280,720,376.582
472,jhaSUzktLH0,1280,720,376.860
473,Z1LbyaC93BU,316,240,377.209
474,dOwyjeSHnrw,1280,720,377.464
475,5F0wr4mvKSA,1280,720,377.511
476,lYn6wII64Qs,640,480,377.580
477,51HFQM3yPo4,854,480,377.800
478,VTHZfCd6tHI,640,360,377.812
479,MM8vV3bIfME,320,240,377.859
480,B69yb-R6Z-k,640,360,378.068
481,pZ-f5eYUbNs,1280,720,378.068
482,55epPMAgSy0,1280,720,378.254
483,8EeRCnbPzQA,1280,720,378.463
484,2g0d-9SSoCs,720,480,378.532
485,Nmqb5yQ7154,1920,1080,378.764
486,16a-1jdeSCU,1920,1080,379.020
487,MDpvSVt_KgY,1280,720,379.182
488,oa7EFpJmUNU,1920,1080,379.206
489,u7lspklylt8,1920,1080,379.252
490,h6vvu__0sqs,1280,720,379.322
491,l7OFBdOig8o,1280,720,379.345
492,NCuEqy35PYE,854,480,379.345
493,w5aGpl0JMZw,1280,720,379.391
494,imC5hdXVT9o,480,360,379.415
495,ptHgnzAdiNA,1280,720,379.438
496,VXJluoB4EgM,316,240,379.484
497,k5JHnAe8z1k,720,480,379.833
498,C9GNDIvELvQ,1920,1080,379.856
499,pnwG-XD7T-I,640,480,379.995
500,rK1wr-Th-8U,1280,720,380.041
501,cWuf4FXkSBo,1920,1080,380.204
502,ISavbcTlvU8,480,360,380.668
