video_id,frame_rate,batch_size,min_face_size,max_frame_size,width,height,video_length,detection_length
PPRhJKiVx7E,3.0,34,20,,1920,1080,383.5,223.54212737083435
Pv6riyAAvjY,3.0,46,20,,1920,1080,1304.1333333333334,924.804505109787
QwoGcTLAS0Q,3.0,256,20,,640,480,557.9333333333333,182.43797039985657
r93suYNwcuE,3.0,500,20,,480,360,496.7,50.37881398200989
RHOCpiy5ysY,3.0,34,20,,1920,1080,428.8333333333333,309.5464873313904
S9oiJdDvIMk,3.0,96,20,,1280,720,860.8666666666667,407.499635219574
SDg8k4unARE,3.0,34,20,,1920,1080,1988.3666666666666,1120.8232638835907
T8OizjBmqFc,3.0,94,20,,1280,720,2324.1,1081.2605338096619
tLEA4uf032k,3.0,40,20,,1920,1080,575.2333333333333,400.5383858680725
tLfe4jqPdEU,3.0,256,20,,640,480,702.0333333333333,89.05361199378967
u159fUSRxG8,3.0,46,20,,1920,1080,911.5,492.53736114501953
vrRGcb_3NE0,3.0,94,20,,1280,720,836.8333333333334,706.5020241737366
vT-asdHWKC0,3.0,92,20,,1280,720,1256.4666666666667,543.8693661689758
Wa3WKhsm_G0,3.0,254,20,,854,480,2636.3,639.0172078609467
wOxeHyodJqw,3.0,644,20,,420,320,363.1,48.26929426193237
Wpv68wbRNY0,3.0,36,20,,1920,1080,665.3666666666667,358.27716875076294
wUEpQ8dd9Pk,3.0,34,20,,1920,1080,816.7333333333333,277.0678906440735
x8DClIxtZms,3.0,254,20,,854,480,423.3,70.14606022834778
YekvbVTlncI,3.0,946,20,,320,240,406.4,42.98751974105835
YhXIZMg0pbM,3.0,34,20,,1920,1080,990.4333333333333,387.3262515068054
yS9pnOV37Dk,3.0,34,20,,1920,1080,3171.366666666667,2673.343374967575
yWte7V-4fbk,3.0,92,20,,1280,720,1972.0,683.6612367630005
zkgGybGmTlQ,3.0,318,20,,658,480,810.6,190.2019398212433
_PtmxkdMt0k,3.0,84,20,,1280,720,603.6,248.25320053100586
_S4Dlym0fY0,3.0,512,20,,490,360,442.3,44.56587839126587
3zbCMOTMYQ0,6.0,256,20,,640,480,511.9,151.94900345802307
4ashVec0QJw,6.0,88,20,,1280,720,3170.1666666666665,2338.262587785721
51HFQM3yPo4,6.0,174,20,,854,480,377.8,169.7159926891327
76ZWlmpU8NI,6.0,76,20,,1280,720,681.9,739.9217042922974
78ssC83YlOk,6.0,34,20,,1920,1080,1373.4,2592.5872645378113
B6WLFKUZcl8,6.0,46,20,,1920,1080,1317.3,2408.557051420212
c0hOSSRf92w,6.0,34,20,,1920,1080,1483.9333333333334,2007.1834645271301
CCQptiAh_VY,6.0,34,20,,1920,1080,3103.0666666666666,6153.190416097641
cWt2WHYt-g4,6.0,46,20,,1920,1080,3188.9666666666667,3069.763023853302
eL_Z3081iGk,6.0,94,20,,1280,720,487.76666666666665,885.9108076095581
g83kvsaR23U,6.0,318,20,,640,352,919.6666666666666,224.12636947631836
jQQdxpeV4YA,6.0,34,20,,1920,1080,645.8333333333334,625.1128022670746
Jwy1KfhQMZ8,6.0,34,20,,1920,1080,1502.9333333333334,1728.5920770168304
KgVW-euTY5g,6.0,1024,20,,360,240,1486.0666666666666,412.3281364440918
KZlZlFq4UAc,6.0,254,20,,854,480,736.0333333333333,484.83364748954773
k_NWf1REW-4,6.0,46,20,,1920,1080,3343.4333333333334,3720.830612182617
